form,company,cik,date_filed,edgar_path,window,accession,filed,subject_cik,filer_cik,event,pct_of_class,has_xml,delay_bdays,delay_cdays
SC 13D,Wells Bradley W,1935025,2023-08-14,edgar/data/1935025/0001104659-23-091411.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001104659-23-091411,2023-08-14,0001777765,0001935025,2023-08-01,16.97,False,9.0,13.0
SC 13D,"Zynerba Pharmaceuticals, Inc.",1621443,2023-08-24,edgar/data/1621443/0001140361-23-041175.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001140361-23-041175,2023-08-24,0001621443,0001802665,2023-08-14,2.59,False,8.0,10.0
SC 13D,325 CAPITAL LLC,1873893,2024-07-03,edgar/data/1873893/0000921895-24-001536.txt,"post (2024Q3-Q4, 5-business-day rule)",0000921895-24-001536,2024-07-03,0001863990,0001873893,2024-07-01,1.8,False,2.0,2.0
SC 13D,AUNA S.A.,1799207,2024-08-22,edgar/data/1799207/0001999371-24-010550.txt,"post (2024Q3-Q4, 5-business-day rule)",0001999371-24-010550,2024-08-22,0001799207,0002019118,,20.46,False,,
SC 13D,Altos Venture AG,2006260,2024-09-26,edgar/data/2006260/0001193125-24-226920.txt,"post (2024Q3-Q4, 5-business-day rule)",0001193125-24-226920,2024-09-26,0001782107,0002006260,,32.5,False,,
SC 13D,Anson Funds Management LP,1491072,2024-07-09,edgar/data/1491072/0001193125-24-176749.txt,"post (2024Q3-Q4, 5-business-day rule)",0001193125-24-176749,2024-07-09,0001701758,0001491072,,5.2,False,,
SC 13D,"BCPE Nucleon (DE) SPV, LP",2031973,2024-07-26,edgar/data/2031973/0001193125-24-186422.txt,"post (2024Q3-Q4, 5-business-day rule)",0001193125-24-186422,2024-07-26,0001618732,0002031973,,6.4,False,,
SC 13D,"Blade Air Mobility, Inc.",1779128,2024-07-12,edgar/data/1779128/0001679688-24-000077.txt,"post (2024Q3-Q4, 5-business-day rule)",0001679688-24-000077,2024-07-12,0001779128,0001679688,,20.0,False,,
SC 13D,Bragg Gaming Group Inc.,1867834,2024-07-10,edgar/data/1867834/0000912282-24-000533.txt,"post (2024Q3-Q4, 5-business-day rule)",0000912282-24-000533,2024-07-10,0001867834,0002028647,2024-06-08,6.15,False,22.0,32.0
SC 13D,Bright Scholar Education Holdings Ltd,1696355,2024-07-31,edgar/data/1696355/0001013762-24-002909.txt,"post (2024Q3-Q4, 5-business-day rule)",0001013762-24-002909,2024-07-31,0001696355,0002031450,2024-07-18,61.0,False,9.0,13.0
SC 13D,"CHUY'S HOLDINGS, INC.",1524931,2024-08-29,edgar/data/1524931/0001104659-24-094588.txt,"post (2024Q3-Q4, 5-business-day rule)",0001104659-24-094588,2024-08-29,0001524931,0001352851,,,False,,
SC 13D,"CITIUS ONCOLOGY, INC.",1851484,2024-08-16,edgar/data/1851484/0001213900-24-070284.txt,"post (2024Q3-Q4, 5-business-day rule)",0001213900-24-070284,2024-08-16,0001851484,0001506251,2024-08-12,92.6,False,4.0,4.0
SC 13D,California Resources Corp,1609253,2024-07-09,edgar/data/1609253/0001104659-24-078572.txt,"post (2024Q3-Q4, 5-business-day rule)",0001104659-24-078572,2024-07-09,0001609253,0001283718,,11.8,False,,
